HISTORIC DATA TABLE ($USD unless otherwise noted),,,,,,,,,,,,,,,
updated 21DEC24  |  Please e-mail corrections and additions to this address:  sportdeath @  comcast . net  (remove the spaces around the @ and .),,,,,,,,,,,,,,,
LETTER KEY for REFERENCE NUMBERS (###.### + letter):  D=Deutsch (German) dial;  E=English dial;  F=Single-folding deployant buckle;  G=Double-folding deployant buckle; X=variation of a standard model,,,,,,,,,,,,,,,
"PLEASE LOOK FOR THIS STOLEN LANGE WATCH, CLICK HERE: # 39/100 (caseback # 117439, movement # 7439)",,,,,,,,,,,,,,,
REF. NO. (SORTED BY FAMILY/ MODEL),FAMILY / MODEL (ALPHABETICALLY SORTED),CASE METAL,DIAL,HANDS,STRAP,LUG & BUCKLE WIDTHS (mm),CASE SIZE diam/height (mm),MOVEMENT CALIBRE,LTD. ED.?,NOTES,FIRST YEAR MADE,LATEST YEAR REPORTED MADE,FIRST YEAR PRICE,LATEST PRICE (RED IS CURRENT),REF. NO. (SORTED BY FAMILY/ MODEL)
223.021,"1815 Up/Down ""Walter Lange""",YG,"white lacquered, thin YG rings around subdials",blue steel,crocodile,19/16,37.5/9.0,L942.1,50,Sold mostly in US market. Cases numbered 171001-171050. Half-hunter case (2007).,2007,2008,"$22,500","$22,500",223.021
223.026,"1815 Up/Down ""Walter Lange""",WG,"white lacquered, thin WG rings around subdials",blue steel,crocodile,19/16,37.5/9.0,L942.1,50,Sold mostly in US market. Cases numbered 171051-171100. Half-hunter case (2007).,2007,2008,"$26,300","$26,300",223.026
223.032,"1815 Up/Down ""Walter Lange""",RG,"white lacquered, thin RG rings around subdials",RG,crocodile,19/16,37.5/9.0,L942.1,50,Sold mostly in US market. Cases numbered 171101-171150. Half-hunter case (2007).,2007,2008,"$22,500","$22,500",223.032
231.031,"1815 Moonphase ""Emil Lange""",RG,black,RG,crocodile,19/16,35.9/7.45,L943.1,250,Cases numbered 124001-124250.,1999,2001,"$13,200","$13,200",231.031
231.035,"1815 Moonphase ""Emil Lange""",PT,black,WG,crocodile,19/16,35.9/7.45,L943.1,150,Cases numbered 124251-124400.,1999,2001,"$18,200","$18,200",231.035
233.021,1815,YG,silver,blue steel,croc (brown),20/16,40.0/8.9,L051.1,no,,2009,2013,"$18,100","$21,600",233.021
233.025,1815,PT,rhodium,WG,croc (black),20/16,40.0/8.9,L051.1,500,,2009,2017,"$33,000","$39,000",233.025
233.026,1815,WG,silver,blue steel,croc (black),20/16,40.0/8.9,L051.1,no,,2009,2017,"$18,100","$25,400",233.026
233.032,1815,RG,silver,blue steel,croc (reddish),20/16,40.0/8.9,L051.1,no,,2009,2017,"$18,100","$25,400",233.032
234.021,1815 Up/Down,YG,silver,blue steel,croc (brown),20/16,39.0/8.9,L051.2,no,,2013,2020,"$27,400","$30,900",234.021
234.026,1815 Up/Down,WG,silver,blue steel,croc (black),20/16,39.0/8.9,L051.2,no,,2013,2024,"$28,600","$34,500",234.026
234.032,1815 Up/Down,RG,silver,blue steel,croc (red/brn),20/16,39.0/8.9,L051.2,no,,2013,2024,"$27,400","$34,500",234.032
234.041,1815 Up/Down,WG,blue,WG,croc (blue),20/16,39.0/8.9,L051.2,25,For 25-year partnership with retailer Wempe.,2019,2019,"€28,400","€28,400",234.041
234.042,1815 Up/Down,RG,blue,RG,croc (blue),20/16,39.0/8.9,L051.2,25,For 25-year partnership with retailer Wempe.,2019,2019,"€28,400","€28,400",234.042
234.047,1815 Up/Down,RG,silver,blue steel,croc (brown),20/16,39.0/9.5,L051.2,20,"For 75th anniversary of Spanish retailer Suárez. Caseback engraved with ""Suárez"" and Sota building on Bilbao's Gran Vía. Cases numbered 200201-200220. Half-hunter case hinged at top.",2018,2018,"€27,355","€27,355",234.047
234.049,"1815 Up/Down ""Cellini""",WG,"white lacquered, red ""40"" on subseconds dial",blue steel,croc,20/16,39.0/8.9,L051.2,40,"For 40th anniversary of US retailer Cellini (2017). Caseback engraved ""40 PCS."" (not individually numbered). Dial is not enamel.",2017,2023,"$30,500","$34,500",234.049
235.021,1815,YG,silver,blue steel,croc (brown),20/16,38.5/8.8,L051.1,no,,2014,2022,"$24,800","$26,000",235.021
235.026,1815,WG,silver,blue steel,croc (black),20/16,38.5/8.8,L051.1,no,,2014,2024,"$26,000","$31,100",235.026
235.032,1815,RG,silver,blue steel,croc (red-brown),20/16,38.5/8.8,L051.1,no,,2014,2024,"$24,800","$31,100",235.032
235.043,"1815 ""Dresden""",RG,silver,blue steel,croc (red-brown),20/16,38.5/8.8,L051.1,10,For 10th anniversary of first Lange boutique. Half-hunter caseback engraved with Dresden Frauenkirche. Sold only in Dresden boutique (2017).,2017,2017,"€29,900","€29,900",235.043
235.047,"1815 ""Dresden""",WG,silver,blue steel,croc (black),20/16,38.5/8.8,L051.1,10,For 10th anniversary of first Lange boutique. Half-hunter caseback engraved with Dresden Frauenkirche. Sold only in Dresden boutique (2017).,2017,2017,"€29,900","€29,900",235.047
236.049,"1815 ""F.A. Lange 200th Birthday Anniversary""",PT,black,WG,croc (black),20/16,40.0/8.8,L051.1,200,200th anniversary of F.A. Lange. Cases numbered 220201-220400.,2015,2017,"$33,500","$33,500",236.049
236.050,"1815 ""F.A. Lange 200th Birthday Anniversary""",HG,silver (argenté grainé/eggshell),HG,croc (red-brown),20/16,40.0/8.8,L051.1,200,200th anniversary of F.A. Lange. Cases numbered 222701-222900.,2015,2017,"$33,500","$33,500",236.050
238.026,1815 Annual Calendar,WG,silver,WG + blue steel,croc (black),20/16,40.0/10.1,L051.3,no,,2017,2024,"$40,400","$53,100",238.026
238.032,1815 Annual Calendar,RG,silver,RG + blue steel,croc (red-brown),20/16,40.0/10.1,L051.3,no,,2017,2024,"$40,400","$53,100",238.032
239.050,"1815 Thin ""F.A. Lange Homage 175th Anniversary""",HG,"copper, white enamel w/dark grey numerals",HG,croc (dark brown),20/16,38.0/6.3,L093.1,175,,2020,2023,"$34,400","$38,400",239.050
245.021,"1815 ""Kalenderwoche"" (Huber)",YG,silver,blue steel,croc (brown),20/16,38.4/9.8,L045.1,"50?
","Movement engraved ""ANDREAS HUBER MÜNCHEN 1856-2006.” Cases likely numbered 165151-165175 & 174141-174145. Were 50 actually produced, or just 30? For 150th anniversary of Munich retailer Huber (2006).",2006,2007,"€20,000","€20,000",245.021
245.025,"1815 ""Kalenderwoche"" (Huber)",PT,silver,WG,croc (black),20/16,38.4/9.8,L045.1,50,"Movement engraved ""ANDREAS HUBER MÜNCHEN 1856-2006.” Cases numbered 165101-165150. For 150th anniversary of Munich retailer Huber (2006).",2006,2007,"€32,000","€32,000",245.025
245.032,"1815 ""Kalenderwoche"" (Huber)",RG,silver,blue steel,croc (reddish),20/16,38.4/9.8,L045.1,50,"Movement engraved ""ANDREAS HUBER MÜNCHEN 1856-2006.” Cases likely numbered 165176-165200 & 174146-174170. For 150th anniversary of Munich retailer Huber (2006).",2006,2007,"€20,000","€20,000",245.032
251.021,1815 Up/Down,YG,silver,blue steel,bracelet,19/16,35.9/7.5,L942.1,no,,1997,1999,"$23,800","$23,800",251.021
251.025,1815 Up/Down,PT,silver,blue steel,bracelet,19/16,35.9/7.5,L942.1,no,,1997,1999,inquiry,inquiry,251.025
256.021,1815,YG,silver,blue steel,bracelet,19/16,35.9/7.5,L941.1,no,,1997,2002,"$20,000","$20,000",256.021
256.025,1815,PT,silver,blue steel,bracelet,19/16,35.9/7.5,L941.1,no,,1997,2002,inquiry,inquiry,256.025
297.021,1815 Homage to Walter Lange,YG,silver,blue steel,croc (middle brown),20/16,40.5/10.7,L1924,27,,2017,2020,"€47,000","$52,300",297.021
297.026,1815 Homage to Walter Lange,WG,silver,blue steel,croc (black),20/16,40.5/10.7,L1924,145,,2017,2020,"€47,000","$52,300",297.026
297.032,1815 Homage to Walter Lange,RG,silver,blue steel,croc (reddish brown),20/16,40.5/10.7,L1924,90,,2017,2020,"€47,000","$52,300",297.032
297.078,1815 Homage to Walter Lange,SS,black enamelled solid silver,polished steel,croc (black),20/16,40.5/11.0,L1924,1,Auctioned for charity.,2018,2018,"$852,525","$852,525",297.078
303.021,1815 Automatik,YG,silver,blue steel,crocodile,19/16,37.0/8.2,L921.2,no,,2004,2008,"$14,400","$18,200",303.021
303.025,1815 Automatik,PT,silver,blue steel,crocodile,19/16,37.0/8.2,L921.2,no,,2004,2008,"$22,600","$28,900",303.025
303.032,1815 Automatik,RG,silver,blue steel,crocodile,19/16,37.0/8.2,L921.2,no,,2004,2008,"$14,400","$18,200",303.032
323.046,"1815 ""Cuvette""",WG,silver-white,blue steel,croc (black),20/16,40.0/10.2,L921.2,38,For 100th anniversary of Münster retailer Oeding-Erdel. #1-10 sold as sets of 2. Cases numbered 167101-167138 and movements numbered 57101-57138. Half-hunter case (2006).,2006,2007,"c.€ 22,000","c.€ 22,000",323.046
323.047,"1815 ""Cuvette""",RG,silver-white,blue steel,croc (brown),20/16,40.0/10.2,L921.2,38,For 100th anniversary of Münster retailer Oeding-Erdel. #1-10 sold as sets of 2. Cases numbered 167201-167238 and movements numbered 57201-57238. Half-hunter case (2006).,2006,2007,"c.€ 22,000","c.€ 22,000",323.047
401.026,1815 Chronograph,WG,silver,blue steel,crocodile,20/16,39.5/10.8,L951.0,no,"Several pair (not more than 10 pair) of 401.026 and 401.031 watches were made with engraved dial center sections. The dial color of the RG 401.031 in these pairs was silver, not black.",2004,2008,"$33,600","$40,000",401.026
401.031,1815 Chronograph,RG,black,RG + blue steel,crocodile,20/16,39.5/10.8,L951.0,no,"Several pair (not more than 10 pair) of 401.026 and 401.031 watches were made with engraved dial center sections. The dial color of the RG 401.031 in these pairs was silver, not black.",2004,2008,"$33,600","$40,000",401.031
401.032,1815 Chronograph,RG,silver,RG + blue steel,crocodile,20/16,39.5/10.8,L951.0,no,Sold only in Japan.,2006,2008,"¥4,378,500","¥4,378,500",401.032
401.032X,"1815 Chronograph ""Dresden Set""",RG,white,RG,croc (brown),20/16,39.5/10.8,L951.0,8,"For 800th anniversary of City of Dresden. Sold by retailer The Hour Glass in Japan. ""No. X/8 Sets"" engraved on side of case. Sold as a set with ref. no. 109.033X (2006).",2006,2006,???,???,401.032X
401.326,1815 Chronograph,WG,silver,blue steel,bracelet,20/16,39.5/10.8,L951.0,no,,2006,2008,"$49,300","$54,600",401.326
402.026,1815 Chronograph,WG,silver,blue steel,croc (black),20/16,39.5/10.8,L951.5,no,,2010,2017,"$43,000","$50,300",402.026
402.032,1815 Chronograph,RG,silver,blue steel,croc (reddish),20/16,39.5/10.8,L951.5,no,,2010,2017,"$43,000","$50,300",402.032
414.026,"1815 Chronograph ""Boutique Edition""",WG,"silver w/blue printing, pulsometer scale",WG + blued steel,croc (blue),20/16,39.5/11.1,L951.5,no,Sold only in boutiques.,2015,2023,"$51,500","$78,100",414.026
414.028,1815 Chronograph,WG,"black, pulsometer scale",WG,croc (black),20/16,39.5/11.1,L951.5,no,,2017,2023,"$50,300","$78,100",414.028
414.031,1815 Chronograph,RG,"black, pulsometer scale",RG,croc (black),20/16,39.5/11.1,L951.5,no,,2018,2023,"$50,300","$78,100",414.031
414.032,1815 Chronograph,RG,"silver, pulsometer scale",RG,croc (red-brown),20/16,39.5/11.1,L951.5,no,,2018,2023,"$50,300","$78,100",414.032
414.047,"1815 Chronograph ""Hampton Court""",WG,"black w/sandstone-colored printing, pulsometer scale",WG,croc (black),20/16,39.5/11.1,L951.5,1,Unique piece forThe Prince's Trust (UK) charity auction. Engraved half-hunter case w/Concorso d'Eleganza.,2022,2022,N/A,N/A,414.047
414.049,"1815 Chronograph ""Concorso""",WG,"RG w/brown subdials, pulsometer scale",WG + steel,croc (dark brown),20/16,39.5/11.9,L951.5,1/yr,"Awarded to Concorso d'Eleganza ""best of show"" winner. Unique engraved half-hunter case. (began 2021 for Lange's 10th Concorso anniversary).",2021,2021,see notes,see notes,414.049
421.025F,1815 Rattrapante Perpetual Calendar,PT,rhodium,blue steel,croc (black),20/18,41.9/14.7,L101.1,no,,2013,2023,"$213,000","$253,500",421.025F
421.032,1815 Rattrapante Perpetual Calendar,RG,silver,RG,croc (red/brn),20/18,41.9/14.7,L101.1,no,,2013,2023,"$189,000","$230,000",421.032
421.048FE,"1815 Rattrapante Perpetual Calendar ""Handwerkskunst""",WG,blue enamel + silver,WG + steel + blue steel,croc (blue-grey),20/18,41.9/15.8,L101.1,20,Sold with deployant buckle. Half-hunter case with blue enamel + goddess Luna engraving. Cases likely numbered 231801-231820 (2017).,2017,2020,"€290,000",on request,421.048FE
421.056FE,1815 Rattrapante Perpetual Calendar,WG,pink gold/salmon,WG + steel + blue steel,croc (dark brown),20/18,41.9/14.7,L101.1,100,Sold with deployant buckle. Sold only in boutiques.,2023,2024,"$319,000","$319,000",421.056FE
425.025,1815 Rattrapante,PT,silver,blue steel,croc (black),20/18,41.2/12.6,L101.2,200,Sold only in boutiques.,2022,2024,"$154,200","$163,200",425.025
425.050,"1815 Rattrapante ""F.A. Lange Homage 175th Anniversary""",HG,black w/gold and red printing,rhodium steel + RG-plated steel + RG + WG,croc (dark brown),20/18,41.2/12.6,L101.2,100,Sold only in boutiques.,2020,2023,"$134,000","$163,200",425.050
730.025,1815 Tourbillon,PT,silver,blue steel,croc (black),20/16,39.5/11.1,L102.1,100,,2014,2017,"$201,300","$201,300",730.025
730.032F,1815 Tourbillon,RG,silver,blue steel,croc (red-brown),20/16,39.5/11.1,L102.1,no,Sold with deployant buckle (as of 2019 and perhaps earlier).,2014,2022,"$164,100","$180,900",730.032F
730.079F,1815 Tourbillon,PT,enamel (white w/red 12),blue steel,croc (black),20/16,39.5/11.3,L102.1,100,Sold with deployant buckle.,2018,2022,"$197,200","$211,100",730.079F
730.048F,"1815 Tourbillon ""Handwerkskunst""",RG,rose gold w/black tremblage engraving,RG,croc (red-brown),20/16,39.5/11.1,L102.1,30,Sold only in boutiques. Sold with deployant buckle. Cases numbered 222651-222680.,2015,2016,"$181,000","$181,000",730.048F
823.029,1815 Chronograph,WG w/diamond bezel,MOP,WG,croc (white),20/16,39.5/10.8,L951.0,no,,2009,2015,???,???,823.029
823.042,1815 Chronograph,WG w/diamond bezel,MOP light blue,WG,croc (light blue),20/16,39.5/10.8,L951.0,no,,2009,2011,"$70,900","$70,900",823.042
103.001,Arkade,YG,champagne,YG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1994,1997,"DM 14,500","DM 14,500",103.001
103.007,Arkade,WG,blue,WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,"$11,000","$11,000",103.007
103.021,Arkade,YG,champagne,YG,croc (brown),14/14,29.0x22.2/8.4,L911.4,no,,1997,2009,"$11,000","$15,200",103.021
103.025,Arkade,PT,rhodium,WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,,2005,2006,"$21,900","$22,500",103.025
103.027,Arkade,WG,blue,WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,,1997,2002,"$11,000","$11,000",103.027
103.035,Arkade,PT,"black, white-on-black date",WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,,1999,2009,"$27,000","$28,200",103.035
103.321,Arkade,YG,champagne,YG,bracelet,14/14,29.0x22.2/8.4,L911.4,no,Special bracelet.,2006,2009,"$24,800","$28,200",103.321
104.001,Arkade,YG,silver,blue steel,croc (black),14/14,29.0x22.2/8.4,L911.2,no,Solid caseback.,1994,1995,"DM 13,900","DM 13,900",104.001
104.002,Arkade,YG,silver,blue steel,croc (red),14/14,29.0x22.2/8.4,L911.2,no,Solid caseback.,1994,1997,"DM 13,900","DM 13,900",104.002
106.021,Grand Arkade,YG,champagne,YG,crocodile,18/16,38.0x29.5/8.7,L911.4,no,,2003,2007,"$13,300","$16,200",106.021
106.025,Grand Arkade,PT,rhodium,WG,crocodile,18/16,38.0x29.5/8.7,L911.4,no,,2003,2007,"$21,600","$26,900",106.025
106.032,Grand Arkade,RG,silver,RG,crocodile,18/16,38.0x29.5/8.7,L911.4,no,,2003,2007,"$13,300","$16,200",106.032
106.035,Grand Arkade,PT,"black, white-on-black date",WG,crocodile,18/16,38.0x29.5/8.7,L911.4,no,,2006,2007,"$26,100","$26,900",106.035
106.044,Grand Arkade,YG,MOP segments,YG,croc (black),18/16,38.0x29.5/8.7,L911.4,20,,2005,2006,???,???,106.044
153.001,Arkade,YG,champagne,YG,chaine bracelet,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1994,1997,"DM 25,500","DM 25,500",153.001
153.002,Arkade,YG,champagne,YG,bracelet,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,"$19,700","$19,700",153.002
153.007,Arkade,WG,blue,WG,bracelet,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,"$20,500","$20,500",153.007
153.021,Arkade,YG,silver,blue steel,chaine bracelet,14/14,29.0x22.2/8.4,L911.4,no,,1997,1999,"$19,700","$19,700",153.021
153.022,Arkade,YG,champagne,YG,bracelet,14/14,29.0x22.2/8.4,L911.4,no,,1997,2006,"$19,700","$23,100",153.022
153.027,Arkade,WG,blue,WG,bracelet,14/14,29.0x22.2/8.4,L911.4,no,,1997,2002,"$20,500","$20,500",153.027
153.035,Arkade,PT,"black, white-on-black date",WG,bracelet,14/14,29.0x22.2/8.4,L911.4,no,,1999,2002,inquiry,inquiry,153.035
203.042,"Arkade, No Date",WG,MOP,WG,crocodile,14/14,29.0x22.2/7.0,L911.1,no,,2006,2007,"$11,800","$11,800",203.042
203.044,"Arkade, No Date",RG,MOP,RG,crocodile,14/14,29.0x22.2/7.0,L911.1,no,,2006,2007,"$11,800","$11,800",203.044
801.001,Arkade,YG w/brilliants,champagne,YG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1995,1997,"$18,100","$18,100",801.001
801.002,Arkade,YG w/bag. diamonds,champagne,YG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1995,1997,"$35,800","$35,800",801.002
801.006,Arkade,YG w/diamonds,pavé (diamonds),YG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback,1997,1998,"$36,000","$36,000",801.006
801.009,Arkade,WG w/diamonds,blue,WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,"$20,500","$20,500",801.009
801.010,Arkade,WG w/bag.diamonds,blue,WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,"$42,000","$42,000",801.010
801.012,Arkade,WG w/brilliants,pavé (diamonds),WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,inquiry,inquiry,801.012
801.021,Arkade,YG w/brilliants,champagne,YG,croc (brown),14/14,29.0x22.2/8.4,L911.4,no,,1997,2009,"$20,500","$25,600",801.021
801.022,Arkade,YG w/bag. diamonds,champagne,YG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,,1997,2002,"$42,000","$42,000",801.022
801.026,Arkade,YG w/diamonds,pavé (diamonds) + 11 rubies,YG,crocodile,14/14,29.0x22.2/8.4,L911.2,no,,1997,2001,"$36,000","$36,000",801.026
801.029,Arkade,WG w/diamonds,blue,WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,,1997,2004,"$20,500","$20,500",801.029
801.030,Arkade,WG w/bag.diamonds,blue,WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,,1997,2004,"$42,000","$42,000",801.030
801.032,Arkade,WG w/brilliants,pavé (diamonds) + 11 sapphires,WG,crocodile,14/14,29.0x22.2/8.4,L911.2,no,Diamond-covered lugs.,1997,2002,inquiry,inquiry,801.032
801.035,Arkade,PT w/brilliants,"black, white-on-black date",WG,crocodile,14/14,29.0x22.2/8.4,L911.2,no,,2002,2005,???,?,801.035
801.039,Arkade,WG w/brilliants,pavé (diamonds) + 11 sapphires,WG,crocodile,14/14,29.0x22.2/8.4,L911.2,no,,2000,2006,???,"$50,000?",801.039
801.069,Arkade,WG w/brilliants,black,WG,croc (black),14/14,29.0x22.2/8.4,L911.4,no,,2004,2009,"$21,300","$25,600",801.069
801.070,Arkade,WG w/bag.diamonds,black,WG,crocodile,14/14,29.0x22.2/8.4,L911.4,no,,2004,2008,"$43,700","$48,400",801.070
812.021,Grand Arkade,YG w/brilliants,champagne,YG,crocodile,18/16,38.0x29.5/8.7,L911.4,no,,2003,2006,"$25,200","$26,700",812.021
812.029,Grand Arkade,WG w/diamonds,blue,WG,crocodile,18/16,38.0x29.5/8.7,L911.4,no,,2002,2006,"$25,200","$27,600",812.029
812.030,Grand Arkade,WG w/bag.diamonds,blue,WG,crocodile,18/16,38.0x29.5/8.7,L911.4,no,"First offered 2003 ""for inquiry.""",2004,2006,"$72,600","$71,200",812.030
812.043,Grand Arkade,WG w/bag.diamonds,segmented MOP (rose tint) + diamonds,WG,croc (rose),18/16,38.0x29.5/8.7,L911.4,20,,2004,2006,"$75,400",?,812.043
851.002,Arkade,YG w/38 bag. diamnds,champagne,YG,bracelet,14/14,31.0x24.5/8.0,L911.4,no,Solid caseback.,1996,2004,?,?,851.002
861.010,Arkade,WG w/bag.diamonds,blue,WG,brclt w/bag.,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,inquiry,inquiry,861.010
861.011,Arkade,WG w/bag.diamonds,blue,WG,brclt w/brilliants,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,inquiry,inquiry,861.011
861.012,Arkade,WG w/diamonds,pavé (diamonds),WG,brclt w/brilliants,14/14,29.0x22.2/8.4,L911.4,no,Solid caseback.,1997,1998,inquiry,inquiry,861.012
861.030,Arkade,WG w/bag.diamonds,blue,WG,brclt w/bag.,14/14,29.0x22.2/8.4,L911.4,no,,1997,2001,inquiry,inquiry,861.030
861.031,Arkade,WG w/diamonds,blue,WG,brclt w/brilliants,14/14,29.0x22.2/8.4,L911.4,no,,1997,2002,inquiry,inquiry,861.031
861.032,Arkade,WG w/diamonds,pavé (diamonds) + 11 sapphires,WG,brclt w/brilliants,14/14,29.0x22.2/8.4,L911.2,no,Diamond-covered lugs.,1997,2002,inquiry,inquiry,861.032
107.021,Cabaret,YG,champagne,YG,croc (brown),19/16,36.3x25.5/9.1,L931.3,no,,1998,2010,"$16,000","$21,800",107.021
107.022,"Cabaret ""Nota Romana""",YG,champagne,YG,croc (brown),19/16,36.3x25.5/9.1,L931.3,no,,2003,2004,"$16,000","$16,000",107.022
107.025,Cabaret,PT,rhodium,WG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,,2004,2006,"$25,300","$26,500",107.025
107.026,"Cabaret ""Nota Romana""",WG,silver,WG,croc (black),19/16,36.3x25.5/9.1,L931.3,no,Also 107.026X?,2003,2004,"$16,000","$16,000",107.026
107.027,Cabaret,WG,blue,WG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,,1998,2002,"$16,000","$16,000",107.027
107.031,Cabaret,RG,black,RG,croc (black),19/16,36.3x25.5/9.1,L931.3,no,,1997,2010,"$15,900","$21,800",107.031
107.032,Cabaret,RG,silver,RG,croc (black),19/16,36.3x25.5/9.1,L931.3,no,,1998,2009,"$16,000","$21,800",107.032
107.035,Cabaret,PT,"black, white-on-black date",WG,crocodile,19/16,36.3x25.5/9.1,L931.3,no,Caseback #124861 is solid and signed by Walter Lange.,1999,2004,"$23,700","$23,700",107.035
107.036,"Cabaret ""Nota Romana""",PT,"black, white-on-black date",WG,croc (black),19/16,36.3x25.5/9.1,L931.3,no,,2003,2004,"$23,700","$23,700",107.036
107.046F,"Cabaret ""LOG""",WG,grey,WG,croc (black),19/16,36.3x25.5/9.1,L931.6,25,For Lange Owners Group. Sold w/deployant buckle. Cases numbered 177501-177525 (2009).,2009,2010,"€22,900","€22,900",107.046F
118.021,Cabaret Moonphase,YG,champagne,YG,croc (brown),19/16,36.3x25.5/9.1,L931.5,no,,2005,2009,"$20,900","$26,100",118.021
